fecha_despacho;dia_semana;ventas_proyectadas;limite_inferior;limite_superior
2026-08-17;LUNES;106520.530974129;23620.5237187922;480359.060432734
2026-08-18;MARTES;116779.535594051;25895.4940346013;526622.158926899
2026-08-19;MIERCOLES;128290.762810146;28448.1491103479;578532.169519232
2026-08-20;JUEVES;64643.0469622517;14335.2410398929;291487.737949472
2026-08-21;VIERNES;88356.310876143;19594.179539066;398414.047420152
2026-08-22;SABADO;3.11573223104872;0;17.5583924605912
2026-08-23;DOMINGO;42974.663740554;9529.79986767751;193782.071681603
2026-08-24;LUNES;105786.56589818;23429.2634127048;477629.528583545
2026-08-25;MARTES;115974.882920617;25685.813599308;523629.748018472
2026-08-26;MIERCOLES;127406.794352564;28217.8001696298;575244.792315989
2026-08-27;JUEVES;64197.6302243927;14218.6532106291;289841.801483198
2026-08-28;VIERNES;87747.5026868997;19434.8239980887;396164.334927401
2026-08-29;SABADO;3.08737361010215;0;17.4535996129457
2026-08-30;DOMINGO;42678.5486170404;9452.29173534157;192687.845446755
2026-08-31;LUNES;105057.658060218;23237.9146447008;474948.962257837
2026-09-01;MARTES;115175.77454377;25476.0361824006;520691.018464468
2026-09-02;MIERCOLES;126528.916700946;27987.344687679;572016.387916338
2026-09-03;JUEVES;63755.2825405253;14102.0208458941;288225.445086105
2026-09-04;VIERNES;87142.8893674143;19275.4075847702;393955.053309437
2026-09-05;SABADO;3.05921038850054;0;17.3506900577278
2026-09-06;DOMINGO;42384.473814926;9374.75399561671;191613.284179776
2026-09-07;LUNES;104333.772614364;23046.5091327946;472316.625031403
2026-09-08;MARTES;114382.172261655;25266.1965566306;517805.162916242
2026-09-09;MIERCOLES;125657.087887824;27756.8208648475;568846.069390104
2026-09-10;JUEVES;63315.9827639533;13985.3632465637;286638.223910887
2026-09-11;VIERNES;86542.4420137848;19115.9566800934;391785.594536383
2026-09-12;SABADO;3.0312412198842;0;17.2496354725706
2026-09-13;DOMINGO;42092.4252757886;9297.19947981527;190558.092144106
2026-09-14;LUNES;103614.874954843;22855.0784534521;469731.791848905
2026-09-15;MARTES;113594.038135638;25056.3293395684;514971.386488951
