posicion;cliente_id;cliente;empresa;ventas;frecuencia_egresos;ticket_promedio
1;1030;GYE EGRESOS PCP GYE;COALSE;1366081.77883438;1051;1299.79236806316
2;1200;GYE SANTA PRISCILA 2;COALSE;713465.361375914;305;2339.23069303578
3;872;GH 100 COMEDOR PCP SGQ;TECFOOD;604897.281220313;949;637.404932792743
4;209;GYE OMARSA PLANTA;COALSE;574902.559112941;191;3009.96104247613
5;7;GH 100 COMEDOR PCP UIO;TECFOOD;364286.449733695;395;922.244176541001
6;208;GYE OMARSA ISLA PUNÁ;COALSE;353642.422820628;153;2311.38838444855
7;1895;CLUB DEPORTIVO IDV FORMATIVA;TECFOOD;349193.676855123;516;676.731931889774
8;1059;GYE OMARSA BRISAS;COALSE;331189.156290634;168;1971.36402553949
9;216;GYE PROMARISCO;COALSE;316195.718169349;167;1893.3875339482
10;2022;ENAP SIPEC;TECFOOD;257491.565290853;301;855.453705285227
11;1869;GYE OMARSA PUERTO INCA 2;COALSE;252046.696134297;158;1595.23225401454
12;720;GYE MARBELIZE S.A.;COALSE;249396.813519899;206;1210.66414330048
13;1880;GYE SANTA PRISCILA TEXTILES;COALSE;244463.665564905;294;831.509066547297
14;1889;HOSP. SOLCA ADMINISTRACION;TECFOOD;227025.444680199;502;452.241921673704
15;1845;GYE OMARSA PUERTO INCA;COALSE;220219.367197353;159;1385.02746665002
16;1087;GYE SANTA PRISCILA VIA DAULE;COALSE;214631.32073382;291;737.564676061236
17;1986;CCDC – RIG 28;TECFOOD;212840.076201603;236;901.864729667808
18;1061;HOSP. METROPOLITANO ADMINISTRACIÓN;TECFOOD;210207.565685193;343;612.850045729424
19;81;GYE HOSP. L.V. ADMINISTRACION;COALSE;209573.900132989;162;1293.66605020363
20;1999;GYE YILPORT;COALSE;204330.045190583;172;1187.96537901502
21;1698;DANEC;TECFOOD;200272.471537397;463;432.553934206041
22;215;GYE PROEXPO;COALSE;199760.806990188;157;1272.36182796298
23;1778;FLOREQUISA OPERATIVO;TECFOOD;192607.919451048;313;615.360765019322
24;1527;PETROECUADOR SPF;TECFOOD;191407.332631908;214;894.426787999568
25;984;HALLIBURTON;TECFOOD;179602.479220183;220;816.374905546286
26;296;GH 111 MEGAPAN PCP UIO;TECFOOD;176521.060031575;344;513.142616370857
27;1531;PETROECUADOR NPF;TECFOOD;173068.009132621;211;820.227531434221
28;1946;GYE OMARSA ISLA PUNÁ 2;COALSE;167240.438662443;142;1177.74956804538
29;888;GPF PROVEFARMA CD;TECFOOD;166812.802183158;389;428.824684275471
30;2002;GYE GRUPO GRUPASA;COALSE;159637.381630025;303;526.85604498358
31;1254;GYE PLANTABAL S.A.;COALSE;158609.876560229;181;876.297660553749
32;218;GYE PRONACA PL AVES BUCAY;COALSE;153690.264147249;150;1024.60176098166
33;530;FV SANITARIOS;TECFOOD;153464.485426662;328;467.879528739824
34;2007;CCDC JACKUP RIG;TECFOOD;148755.464746795;278;535.091599808616
35;1358;GYE HOSP. NEUROCIENCIAS DIETA GENERAL;COALSE;147823.431466149;144;1026.55160740381
36;213;GYE PROCARSA;COALSE;143556.359403495;145;990.043857955139
37;203;GYE OMARSA CACHUGRAN 2;COALSE;141745.525585647;149;951.312252252666
38;185;GYE HOSP. R.G. ADMINISTRACIÓN;COALSE;136512.971289032;147;928.65966863287
39;1295;GYE INDURAMA;COALSE;136178.088909793;145;939.159233860639
40;1890;HOSP. SOLCA DIETA GENERAL/BLANDA/LIQUIDA;TECFOOD;130638.354519105;305;428.322473833131
41;985;HALLIBURTON RETAIL;TECFOOD;121545.80979705;68;1787.43837936838
42;828;ECOFROZ;TECFOOD;121263.821784102;297;408.295696242767
43;1855;GYE LA FABRIL MANTA;COALSE;120642.414282101;263;458.716404114452
44;1250;GYE TELCONET;COALSE;120519.036071768;108;1115.91700066452
45;3;AGLOMERADOS COTOPAXI;TECFOOD;118316.580723162;332;356.375243142055
46;1767;GYE EXPOSYNERGY S.A.S.;COALSE;113907.904623779;160;711.924403898617
47;232;PLUSPETROL CPF;TECFOOD;113358.945078651;196;578.361964686995
48;2121;GYE CONTECON S.A;COALSE;111854.430352511;132;847.38204812508
49;1633;GYE CASJUCA;COALSE;110923.647924774;152;729.760841610352
50;1961;GYE EXPOCULTIVOS GRANCOMAR;COALSE;109999.766527307;139;791.365226815161
51;502;GYE ASISERVY;COALSE;104018.933477514;266;391.048622095918
52;1463;GYE GH 111 SUMINISTROS MEGAPAN;COALSE;101394.927753529;357;284.019405472071
53;527;GYE AJE BIG COLA;COALSE;101016.287813041;281;359.488568729683
54;1519;CLUB DEPORTIVO U. CATÓLICA FORMATIVA;TECFOOD;100440.565901142;196;512.451866842559
55;206;GYE OMARSA CHONGON LANGUA;COALSE;100310.866844479;141;711.424587549497
56;2101;GYE OMARSA ALEJANDRINA 2;COALSE;99654.5316856234;94;1060.15459240025
57;1848;PLASTISACKS;TECFOOD;99615.791029489;280;355.770682248175
58;1049;GYE KUBIEC S.A. PETRILLO;COALSE;99157.9878726603;288;344.298569002293
59;207;GYE OMARSA CHONGON VIGSA;COALSE;97852.7128164513;143;684.284705010149
60;531;FV GRIFERIA;TECFOOD;97796.9176360682;254;385.02723478767
61;407;JABONERÍA WILSON;TECFOOD;96058.4132520213;284;338.233849478948
62;1689;COL. INTISANA COMEDOR;TECFOOD;95630.481141364;240;398.460338089017
63;880;GH 111 MEGAPAN PCP SGQ;TECFOOD;94868.0386036755;327;290.116326005124
64;1062;HOSP. METROPOLITANO PACIENTES;TECFOOD;93393.083794304;289;323.159459495862
65;1294;GYE MABE;COALSE;92315.5247457179;153;603.36944278247
66;335;CONFITECA C.A.;TECFOOD;91185.4845378749;280;325.662444778125
67;22;COL. MENOR RETAIL;TECFOOD;91030.440150481;238;382.480840968408
68;690;GYE BIMBO S.A.;COALSE;90790.6312803641;162;560.435995557803
69;205;GYE OMARSA CACHUGRAN CAPILLA;COALSE;90685.0091978734;141;643.156093601939
70;2107;GYE HACIENDA EL ÁLAMO;COALSE;90194.5014091188;66;1366.58335468362
71;1857;GYE LA FABRIL MANTA MULTIUSOS;COALSE;89190.1889622865;268;332.799212545845
72;219;GYE PRONACA PL DURÁN;COALSE;88728.7284211251;150;591.524856140834
73;497;GYE BANALIGHT S.A.;COALSE;86913.5903166968;170;511.256413627628
74;49;EDESA;TECFOOD;86393.1112378805;433;199.522196854227
75;9;ARCA NORTE;TECFOOD;84396.288310527;430;196.270437931458
76;1361;GYE HOSPC. CORAZON DE JESÚS DIETA GENERAL;COALSE;83617.4534598682;140;597.267524713344
77;6;BOTROSA;TECFOOD;83080.7311597304;140;593.433793998074
78;1269;GYE TESALIA;COALSE;82669.0716215124;158;523.221972288053
79;70;INAEXPO PL STO. DGO.;TECFOOD;82284.4104051319;133;618.679777482195
80;237;PLUSPETROL VILLANO A;TECFOOD;82115.2423674418;203;404.508583090846
81;5;AYMESA 1;TECFOOD;80930.5927665382;268;301.97982375574
82;1363;GYE HOSPC. CORAZON DE JESÚS DIETA DIABÉTICA;COALSE;77880.6617407583;142;548.455364371537
83;1139;JURIS PLANTA SANGOLQUÍ;TECFOOD;74014.6905431744;288;256.995453274911
84;122;L.D.U. PROFESIONAL;TECFOOD;73513.6975084245;379;193.967539600065
85;133;PANAVIAL AMBATO;TECFOOD;73138.2364776935;170;430.224920457021
86;10;ARCA STO. DOMINGO;TECFOOD;72733.6449110393;139;523.26363245352
87;2095;GYE OMARSA ISLA PUNÁ 2 - ZONA 3;COALSE;70351.6066833196;111;633.798258408285
88;1992;GYE EL CAFE;COALSE;69388.990229616;267;259.883858537888
89;2014;GYE ECUAVISA;COALSE;69056.7592709843;159;434.319240698015
90;125;LETERAGO;TECFOOD;68546.9028244047;597;114.818932704195
91;145;PANAVIAL PIFO;TECFOOD;67443.5639560186;220;306.561654345539
92;35;COL. AMERICANO RETAIL;TECFOOD;67304.0814537339;235;286.400346611634
93;246;PARDALIS;TECFOOD;67148.1093129347;211;318.237484895425
94;123;L.D.U. FORMATIVA;TECFOOD;64115.1839750662;385;166.532945389782
95;1058;HOSP. METROPOLITANO BAKERY RETAIL;TECFOOD;62952.3801649491;277;227.264910342777
96;1467;COL. SEK VALLES COMEDOR;TECFOOD;62518.2347120464;243;257.276686057804
97;196;GYE HOSP. L.V. DIETA GENERAL;COALSE;61387.8106281898;153;401.227520445685
98;1039;HOSP. VOZANDES ADMINISTRACIÓN;TECFOOD;60837.1491106673;302;201.447513611481
99;1357;GYE HOSP. NEUROCIENCIAS ADMINISTRACION;COALSE;60178.2914240931;155;388.247041445762
100;1896;CLUB DEPORTIVO IDV PROFESIONAL;TECFOOD;59860.3367415743;428;139.860599863491
101;1040;HOSP. VOZANDES PACIENTES;TECFOOD;59718.5068920967;310;192.640344813215
102;259;PETROBELL PETROLEROS;TECFOOD;57711.8838338678;180;320.621576854821
103;38;CPP OPERATIVOS;TECFOOD;57547.7361528135;155;371.275717114926
104;549;ORION EL ENO;TECFOOD;56530.9275049295;177;319.383771214291
105;1699;GYE PRONACA CD;COALSE;54301.2899432479;147;369.396530226176
106;1201;GYE GRAIMAN;COALSE;53862.9010976022;144;374.047924288904
107;1068;POFASA;TECFOOD;52522.7425984111;231;227.371180079702
108;875;NATUFLOR;TECFOOD;51932.2738393209;151;343.922343306761
109;2105;GYE OMARSA PUERTO INCA 1 ZONA 2;COALSE;51111.9179578587;89;574.291213009648
110;1958;GYE OMARSA PUERTO INCA 3;COALSE;50584.346961184;134;377.495126576
111;339;GYE HOSP. L.V. DIETA ASTRINGENTE;COALSE;50556.1135876894;123;411.025313721052
112;1952;OMARSA CAMAREXPO GYE;COALSE;50009.8790541759;144;347.29082676511
113;1473;COL. SEK UIO COMEDOR;TECFOOD;49439.3729446292;220;224.724422475587
114;128;ECUAJUGOS FABRICA;TECFOOD;49415.9804209567;149;331.650875308434
115;1474;COL. MENOR COMEDOR;TECFOOD;48391.8975749799;212;228.263667806509
116;1907;GYE OMARSA OCEAN PRODUCT-ARENILLA;COALSE;47277.0193303666;133;355.466310754636
117;211;GYE GH 112 SUMINISTROS PCP GYE;COALSE;47202.83327116;104;453.873396838077
118;1954;GYE COL. MODERNA RETAIL;COALSE;46066.286909443;152;303.067677035809
119;204;GYE OMARSA CACHUGRAN 3;COALSE;45882.5912189988;135;339.871046066658
120;8;ARCA CALDERON;TECFOOD;45317.4118157874;402;112.729880138775
121;2096;GYE ECUASAL PACOA;COALSE;44938.66176776;126;356.656045775873
122;1431;GYE GRUPO FAMILIA;COALSE;44560.354209432;159;280.253800059321
123;1336;CRANSA S.A.;TECFOOD;42135.7075898344;146;288.600736916674
124;1779;FLOREQUISA ADMINISTRATIVO;TECFOOD;41621.2122718463;264;157.656107090327
125;1695;COL. LOS PINOS COMEDOR;TECFOOD;41371.0615937036;213;194.230336120674
126;927;PANIFICADORA MODERNA;TECFOOD;40813.097545804;159;256.686148086818
127;521;COL. TERRANOVA RETAIL;TECFOOD;40121.3830231752;182;220.447159467996
128;1861;GYE OMARSA PUERTO INCA 1;COALSE;39711.371834353;145;273.87152989209
129;1331;ECOFROZ AGUA CLARA;TECFOOD;39462.23036348;127;310.726223334488
130;1960;GYE EXPOCULTIVOS CHURUTE;COALSE;39296.3293728553;137;286.834520969747
131;548;ORION TETETES;TECFOOD;38814.2984746702;193;201.110354791037
132;179;GYE ECUASAL;COALSE;38093.3050071637;125;304.74644005731
133;1360;GYE HOSPC. CORAZON DE JESÚS ADMINISTRACIÓN;COALSE;38060.5079710794;136;279.856676257937
134;1468;COL. LA CONDAMINE COMEDOR;TECFOOD;36755.3029818597;183;200.848650174097
135;1854;GYE OMARSA PUERTO INCA 5 TAURA;COALSE;36648.4017883402;138;265.568128901016
136;1252;GYE HEINEKEN;COALSE;36380.6215729692;159;228.808940710498
137;809;BIMBO;TECFOOD;35690.691428111;266;134.175531684628
138;141;PANAVIAL GUAYLLABAMBA;TECFOOD;34941.4522598499;207;168.799286279468
139;1614;INDUCALSA-BUNKY;TECFOOD;34328.6091893742;143;240.060204121498
140;1991;GYE QUICORNAC;COALSE;33392.2096540002;156;214.052625987181
141;1939;GYE COL. MENOR SAM RETAIL;COALSE;32886.80669282;118;278.701751634068
