posicion;producto_id;producto;clasificacion;frecuencia_egresos;ventas;cantidad
1;482;TOMATE RIÑON REGULAR PINTON AL GRANEL 1 KG;FRUVER;9543;220438.863898566;314940.04
2;9642;AZUCAR BLANCA 2 KG;NO PERECIBLE;9397;313190.933480836;205451.8
3;259;ZANAHORIA 1 KG;FRUVER;9139;77408.86;193522.15
4;579;QUESO FRESCO KIOSKO 450 GR;PERECIBLE;8885;400683.56;155908
5;207;CEBOLLA BLANCA 1 KG;FRUVER;8742;55739.608;69674.51
6;150;LIMON GRANDE 1 KG;FRUVER;8656;95505.2865;212233.97
7;247;PIMIENTO VERDE 1 KG;FRUVER;8521;59118.754174276;73904.72
8;1437;VERDE 1 KG;FRUVER;8501;301835.1;431193
9;11729;HARINA DE TRIGO FORTIFICADA SUPER PANADERA KG;NO PERECIBLE;8424;140166.2724;212373.14
10;8647;SAL YODADA SUPERMAXI 1 KG;NO PERECIBLE;8276;33585.1081;110441
11;191;APIO 1 KG;FRUVER;8192;18966.9792;39514.54
12;287;ACEITE EL COCINERO 1 LT;NO PERECIBLE;8082;113179.52;63584
13;230;LECHUGA CRIOLLA 1 KG;FRUVER;7986;50887.648;127219.12
14;3427;CILANTRO 50 GR;FRUVER;7962;25940;162125
15;71;YUCA 1 KG;FRUVER;7353;139515.192;310033.76
16;1392;LECHE ENTERA EN POLVO LA VAQUITA 400 GR;NO PERECIBLE;7184;264823.50923945;76055
17;11482;AJO CONGELADO IQF 1 KG;PERECIBLE;7049;77665;22190
18;152;MADURO PINTON AL GRANEL 1 KG;FRUVER;6991;165021.735;220028.98
19;4189;CREMA DE LECHE PARMALAT FUNDA 900 ML;NO PERECIBLE;6692;90990.3648;32478
20;10881;PIÑA PINTONA UND (2.0 - 2.53 KG);FRUVER;6658;105955.29;85050
21;1435;PAPA 1 KG;FRUVER;6577;411408.695;822817.39
22;1420;PEPINILLO 1 KG;FRUVER;6548;33949.7;67899.4
23;204;BROCOLI 1 KG;FRUVER;6417;38488.3056;80183.97
24;567;MANTEQUILLA SIN SAL KIOSKO 1 KG;PERECIBLE;6312;97969.62;19852
25;3441;PEREJIL LISO 50 GR;FRUVER;6197;6282.56;39266
26;2290;COL BLANCA 1 KG;FRUVER;6181;13447;53788
27;3611;HUEVO (58-64) GR UND;NO PERECIBLE;6119;15078.8598;114494
28;193;ARVEJA CONGELADOS IQF 1 KG;PERECIBLE;6105;54617.6;21760
29;208;CEBOLLA PERLA 1 KG;FRUVER;6030;73434.12;146868.24
30;10886;SANDIA PERUANA UND (8.3 - 9.2 KG);FRUVER;5729;118943.9125;31613
31;246;PIMIENTO ROJO 1 KG;FRUVER;5697;25856.688;15670.72
32;4185;CERDO DESHUESADO PROCESADO 3 KG;PERECIBLE;5633;869899.428;149982.66
33;10487;PULPA DE NARANJILLA DELIFROST 940 GR;PERECIBLE;5595;129360.66;90462
34;6909;FIBRA VERDE LUSTRE;NO PERECIBLE;5517;2817.72;31308
35;248;RABANO 1 KG;FRUVER;5509;19801.3816;35359.61
36;256;VAINITA 1 KG;FRUVER;5431;30937.464;25781.22
37;4179;POLLO PIERNA Y MUSLO X 8 PRESAS PROCESADO;PERECIBLE;5385;44380.8382304947;17934.79
38;1388;COLIFLOR 1 KG;FRUVER;5249;26535.5;53071
39;265;ZUQUINI 1 KG;FRUVER;5222;15422.079;35865.3
40;1715;AGUACATE DURO 1 KG;FRUVER;5212;48198.1185;35702.31
41;648;GUANTE ALIMENTOS VINIL LG X100;NO PERECIBLE;5076;40500.95;16531
42;5097;LENTEJA ESPECIAL SUPERMAXI 1 KG;NO PERECIBLE;5055;54354.542;31042
43;1411;NARANJA PINTONA AL GRANEL 1 KG;FRUVER;4958;52160.1885;115911.53
44;11458;HUEVOS AVITO CUBETA (58-64) GR X30;NO PERECIBLE;4953;133618.76104193;37117
45;2570;GUINEO PINTON UND;FRUVER;4951;45527.36;569092
46;23;RES COSTILLA CONGELADO PROCESADO 1 KG;PERECIBLE;4915;48878.5221893943;16560.57
47;10884;PAPAYA PINTONA UND (1.98 - 2.38 KG);FRUVER;4795;66283.009;46777
48;187;AJI ROJO AL GRANEL 1 KG;FRUVER;4739;20491.9625;16393.57
