posicion;producto_id;producto;clasificacion;ventas;frecuencia_egresos;cantidad
1;4185;CERDO DESHUESADO PROCESADO 3 KG;PERECIBLE;869899.428;5633;149982.66
2;2;POLLO ENTERO VACIO CONGELADO FAVORITO (1.4 - 1.6 KG);PERECIBLE;751325.9654;4058;205157
3;3;POLLO ENTERO VACIO CONGELADO FAVORITO (1.6 - 1.8 KG);PERECIBLE;635555.32;3160;154261
4;1435;PAPA 1 KG;FRUVER;411408.695;6577;822817.39
5;579;QUESO FRESCO KIOSKO 450 GR;PERECIBLE;400683.56;8885;155908
6;11150;CERDO CHULETA PROCESADO (71-90) X30;PERECIBLE;394689.102144783;2723;68442.87
7;8;POLLO PECHUGA CONGELADO PROCESADO 5.6 KG X10;PERECIBLE;387995.559126602;4065;109590.55
8;1316;TILAPIA FILETE SANTA PRISCILA 5 KG;PERECIBLE;316241.952;1907;44541.12
9;9642;AZUCAR BLANCA 2 KG;NO PERECIBLE;313190.933480836;9397;205451.8
10;1437;VERDE 1 KG;FRUVER;301835.1;8501;431193
11;1193;RES JULIANA PROCESADO 5 KG;PERECIBLE;275902.4112;2299;52017.8
12;6902;ARROZ ENVEJECIDO GOOD RICES MACAREÑO 45.36 KG;NO PERECIBLE;265166;2237;7799
13;1392;LECHE ENTERA EN POLVO LA VAQUITA 400 GR;NO PERECIBLE;264823.50923945;7184;76055
14;91;CAMARON SIN CASCARA MEDIANO (51-60) CONGELADO 1 KG;PERECIBLE;249721.16;4141;36244
15;9137;ARROZ ENVEJECIDO 1 KG;NO PERECIBLE;247443.861973968;3275;264095.96
16;4180;POLLO PIEZA DOS PIERNAS Y DOS MUSLOS CONGELADO X24 PRESAS PROCESADO;PERECIBLE;239079.589387918;3770;107163.91
17;1293;PESCADO RETAZO 5 KG;PERECIBLE;224135.587103616;2741;49325.2
18;482;TOMATE RIÑON REGULAR PINTON AL GRANEL 1 KG;FRUVER;220438.863898566;9543;314940.04
19;9624;HUEVOS GRANJA INTEGRAL CUBETA (58-64) GR X30;NO PERECIBLE;214062.35;1573;54193
20;1440;PAPA CHOLA 1 KG;FRUVER;211030.278;3366;351717.13
21;11158;RES FILETE PROCESADO (71-90) X30;PERECIBLE;198696.474049323;1578;28929.3
22;6664;ACEITE SABROFRITO 20 LT;NO PERECIBLE;188806.2402177;1953;5671
23;40;POLLO VACIO PRONACA (1.4-1.6) KG;PERECIBLE;187982.364;1429;47420
24;4;POLLO ENTERO VACIO CONGELADO FAVORITO (1.8 - 2.0 KG);PERECIBLE;185703.0348;987;40566
25;11144;CERDO CHULETA PROCESADO (91-110) X30;PERECIBLE;173570.959834089;1596;30022.87
26;152;MADURO PINTON AL GRANEL 1 KG;FRUVER;165021.735;6991;220028.98
27;1191;RES GOULASH PROCESADO 5 KG;PERECIBLE;163895.56248;1543;30900.37
28;3126;RES LOMO FALDA CUADRIL PROCESADO 3 KG;PERECIBLE;154716.578859069;1419;18864.95
29;4580;MURICO FILETE ENTERO CONGELADO 5 KG;PERECIBLE;150220.7;1648;30044.14
30;41;POLLO VACIO PRONACA (1.6-1.8) KG;PERECIBLE;146803.7422;1237;32867
31;1242;RES CARNE MOLIDA 14 - 17% GRASA CONGELADO PROCESADO 5 KG;PERECIBLE;143278.446613568;2274;34883.84
32;11729;HARINA DE TRIGO FORTIFICADA SUPER PANADERA KG;NO PERECIBLE;140166.2724;8424;212373.14
33;71;YUCA 1 KG;FRUVER;139515.192;7353;310033.76
34;11470;HUEVOS AVIRICO CUBETA (58-64) GR X30;NO PERECIBLE;138315.52469484;2097;38421
35;11458;HUEVOS AVITO CUBETA (58-64) GR X30;NO PERECIBLE;133618.76104193;4953;37117
36;7617;RES LOMO DE FALDA SIN GRASA CONGELADO PROCESADO;PERECIBLE;131823.330714448;1180;13732.81
37;10487;PULPA DE NARANJILLA DELIFROST 940 GR;PERECIBLE;129360.66;5595;90462
38;10477;PULPA DE FRUTILLA DELIFROST 940 GR;PERECIBLE;119911.52;4643;69716
39;10886;SANDIA PERUANA UND (8.3 - 9.2 KG);FRUVER;118943.9125;5729;31613
40;10483;PULPA DE MARACUYA DELIFROST 940 GR;PERECIBLE;118821.9;4728;64930
41;1263;ALBACORA 5 KG;PERECIBLE;116956.362458652;1348;22932.62
42;287;ACEITE EL COCINERO 1 LT;NO PERECIBLE;113179.52;8082;63584
43;1317;RES GUATA 5 KG;PERECIBLE;112948.142944;1330;24027.43
44;1146;RES COSTILLA CONGELADO PROCESADO 5 KG;PERECIBLE;108929.8006368;2366;36906.34
45;10496;PULPA DE TOMATE DELIFROST 940 GR;PERECIBLE;107312;4386;67070
46;10881;PIÑA PINTONA UND (2.0 - 2.53 KG);FRUVER;105955.29;6658;85050
47;567;MANTEQUILLA SIN SAL KIOSKO 1 KG;PERECIBLE;97969.62;6312;19852
48;10484;PULPA DE MORA DELIFROST 940 GR;PERECIBLE;96250.5;4077;43950
49;150;LIMON GRANDE 1 KG;FRUVER;95505.2865;8656;212233.97
50;10883;MELON MADURO UND (3.46 - 3.92 KG);FRUVER;95050.0056;4592;29212
51;11146;CERDO CHULETA PROCESADO (111-130) X30;PERECIBLE;94567.6381327678;995;16330.34
52;4189;CREMA DE LECHE PARMALAT FUNDA 900 ML;NO PERECIBLE;90990.3648;6692;32478
53;10492;PULPA DE PIÑA DELIFROST 940 GR;PERECIBLE;90866.16;4238;60984
54;11373;CAFE TRADICION NESCAFE VIDRIO 190 GR;NO PERECIBLE;88391.16;3010;13332
55;7889;CHORIZO ARGENTINO X6 T1 AL GUSTO 500 GR;PERECIBLE;88389.4668;2489;37924
56;1119;CERDO FRITADA PROCESADO 5 KG;PERECIBLE;86302.264578;874;16355.1
57;7387;POLLO VACIO POFASA S/A PROCESADO (1.3-1.7 KG);PERECIBLE;84556.8526875072;1540;33439.12
58;47;CERDO COSTILLA CONGELADO PROCESADO 5KG;PERECIBLE;81872.136;983;16053.36
59;11482;AJO CONGELADO IQF 1 KG;PERECIBLE;77665;7049;22190
60;259;ZANAHORIA 1 KG;FRUVER;77408.86;9139;193522.15
61;2756;AGUA SIN GAS DASANI 600 ML;NO PERECIBLE;74879.288;755;250265
62;208;CEBOLLA PERLA 1 KG;FRUVER;73434.12;6030;146868.24
63;1258;RES SALON PROCESADO 5 KG;PERECIBLE;73387.7456312;540;10568.39
64;10479;PULPA DE GUAYABA DELIFROST 940 GR;PERECIBLE;72157.44;4523;56373
65;4300;DV DETERGENTE LIQUIDO NEUTRO JL21 TIG 4 KG;NO PERECIBLE;69115.76;4392;11896
66;2580;MANZANA GOLD PEQUEÑA UND;FRUVER;68928.2;4480;313310
67;457;MOTE 1 KG;NO PERECIBLE;68127.5;4375;27251
68;631;"STRETCH FILM ALIMENTOS 30 CM 12"" X1400 M";NO PERECIBLE;67595.5;2028;4361
69;10480;PULPA DE LIMON DELIFROST 940 GR;PERECIBLE;66708.5738072;3957;31772
70;10884;PAPAYA PINTONA UND (1.98 - 2.38 KG);FRUVER;66283.009;4795;46777
71;305;ATUN EN ACEITE GIRASOL VAN CAMPS 184 GR;NO PERECIBLE;63566.777;669;46433
72;4168;POLLO SOPA 5 KG;PERECIBLE;63210.9333;2098;28345.71
73;289;ACEITE EL COCINERO 20 LT;NO PERECIBLE;61085.9;1297;1927
74;1362;CAFE CLASICO MINERVA PASAR TOSTADO&MOLIDO 400 GR;NO PERECIBLE;59812.99;3093;16661
75;247;PIMIENTO VERDE 1 KG;FRUVER;59118.754174276;8521;73904.72
76;207;CEBOLLA BLANCA 1 KG;FRUVER;55739.608;8742;69674.51
77;193;ARVEJA CONGELADOS IQF 1 KG;PERECIBLE;54617.6;6105;21760
78;2577;MANDARINA NACIONAL UND;FRUVER;54574.9;3930;545749
79;5097;LENTEJA ESPECIAL SUPERMAXI 1 KG;NO PERECIBLE;54354.542;5055;31042
80;10478;PULPA DE GUANABANA DELIFROST 940 GR;PERECIBLE;52709.4;2488;20430
81;3840;RES MOLIDA PREMIUM CONGELADO PROCESADO 5 KG;PERECIBLE;52689.7228;571;9211.49
82;6293;ATUN EN ACEITE GIRASOL DON SANCHO POUCH 1 KG;NO PERECIBLE;52519.8755276;1560;10504
83;7;POLLO PECHUGA ENTERA CONGELADO PROCESADO 2 KG X4;PERECIBLE;52353.2476870128;3697;14627.14
84;1411;NARANJA PINTONA AL GRANEL 1 KG;FRUVER;52160.1885;4958;115911.53
85;11148;CERDO CHULETA PROCESADO (50-70) X30;PERECIBLE;51394.5332052732;499;8872.94
86;230;LECHUGA CRIOLLA 1 KG;FRUVER;50887.648;7986;127219.12
87;4617;SERVILLETA HANASKA 24X24 X100;NO PERECIBLE;50370.04;2716;162484
88;62;RES JULIANA PROCESADO 1 KG;PERECIBLE;49540.57992;3099;9340.23
89;23;RES COSTILLA CONGELADO PROCESADO 1 KG;PERECIBLE;48878.5221893943;4915;16560.57
90;7678;AGUA SIN GAS TRADICIONAL 400 ML;NO PERECIBLE;48429.6;157;356100
91;507;JAMON SANDUCHE T2 LA ITALIANA 1 KG;PERECIBLE;48406.7232;1841;6996
92;1715;AGUACATE DURO 1 KG;FRUVER;48198.1185;5212;35702.31
93;10784;RES TOP ROUND PULPA NEGRA CONGELADO PROCESADO;PERECIBLE;47200.992550364;346;6543.76
94;110;TILAPIA FILETE SANTA PRISCILA X 1KG;PERECIBLE;47062.208;2484;6628.48
95;2570;GUINEO PINTON UND;FRUVER;45527.36;4951;569092
96;10481;PULPA DE MANGO DELIFROST 940 GR;PERECIBLE;45019.36;3225;29618
97;108;PESCADO RETAZO 1 KG;PERECIBLE;44691.8247108808;3807;9844.18
98;4179;POLLO PIERNA Y MUSLO X 8 PRESAS PROCESADO;PERECIBLE;44380.8382304947;5385;17934.79
99;11226;CERDO CHULETA PROCESADO (131-150) X30;PERECIBLE;42894.0193526528;343;7412.48
100;10494;PULPA DE TAMARINDO DELIFROST 940 GR;PERECIBLE;42817.05;2435;27985
101;610;CEBOLLA PAITEÑA 1 KG;FRUVER;42649.945;3373;85299.89
102;2506;LECHE ENTERA VITA FUNDA 1 LT;PERECIBLE;42539.95;2140;50047
103;49;CERDO DESHUESADO PROCESADO 1 KG;PERECIBLE;41256.444;4108;7113.18
104;7994;DORADO FILETE 5 KG;PERECIBLE;41189.0198812491;359;7476.07
105;60;RES GOULASH PROCESADO 1 KG;PERECIBLE;40670.48856;2473;7667.89
106;648;GUANTE ALIMENTOS VINIL LG X100;NO PERECIBLE;40500.95;5076;16531
107;455;MANI 1 KG;NO PERECIBLE;39616;4435;12380
108;3322;COCA COLA ORIGINAL 500 ML;NO PERECIBLE;38770.4544;562;69332
109;512;LONGANIZA T3 LA ITALIANA 1 KG;PERECIBLE;38761.5523;817;7013
110;9200;ARROZ ENVEJECIDO MACAREÑO 2 KG;NO PERECIBLE;38700.28630796;2284;25834
111;204;BROCOLI 1 KG;FRUVER;38488.3056;6417;80183.97
112;1252;RES PATA CORTE CONGELADO 5 KG;PERECIBLE;38251.6758624;892;16471.32
113;11152;RES FILETE PROCESADO (91-110) X30;PERECIBLE;38159.539125422;469;5542.55
114;3686;PAÑOS DE LIMPIEZA LIGERA WYPALL ROLLO JUMBO DESECHABLES L10 X 650 MTS (30243071);NO PERECIBLE;37805.8;2160;4210
115;2565;CHOCLO UND;FRUVER;37770.8484;4445;164221.08
116;583;QUESO MOZZARELLA KIOSKO 500 GR;PERECIBLE;37623.6;2068;8958
117;592;TORTILLA TRIGO SUAVES MAMA FANY 400 GR X12;PERECIBLE;36998.6182;1653;14803
118;64;RES CARNE MOLIDA 14 - 17% GRASA CONGELADO PROCESADO 1 KG;PERECIBLE;35934.7404;3686;8859.65
119;10147;ESPADA FILETE ENTERO 5 KG;PERECIBLE;35739.2612;227;5310.44
120;11243;CERDO CHULETA PROCESADO (151-170) X30;PERECIBLE;34616.7029375562;121;5983.14
121;3626;PASTELPAN LEVAPAN 2.5 KG;PERECIBLE;34472.7918146;1445;4660
122;1420;PEPINILLO 1 KG;FRUVER;33949.7;6548;67899.4
123;8647;SAL YODADA SUPERMAXI 1 KG;NO PERECIBLE;33585.1081;8276;110441
124;3624;AGUA SIN GAS DASANI 1.2 LT;NO PERECIBLE;33412.1472;210;74848
125;14;COCA COLA ORIGINAL 3 LT;NO PERECIBLE;33184.346;1315;14638
126;11483;AJO CONGELADO IQF CAJA 10 KG;PERECIBLE;32655;622;933
127;2590;TOMATE DULCE CALIBRE 70 GR UND;FRUVER;32620.8;1887;271840
128;2734;TE NEGRO LIMON EN POLVO ICE TEA LEGZ 925 GR;NO PERECIBLE;32392.6085;1731;6629
129;11074;CHOCOLATE RICACAO NESTLE DOYPACK 400 GR;NO PERECIBLE;31302.9257;2694;15427
