cliente_id;cliente;empresa;segmento;recencia_dias;frecuencia_egresos;ventas;ticket_promedio;productos_diferentes;dias_activos;cluster;componente_1;componente_2
828;ECOFROZ;TECFOOD;Clientes estrategicos;3;297;121263.821784102;408.295696242767;415;65;1;-2.62726233442524;0.293607402782784
872;GH 100 COMEDOR PCP SGQ;TECFOOD;Clientes estrategicos;2;949;604897.281220313;637.404932792743;702;165;1;-4.01891370561332;0.125669287151283
527;GYE AJE BIG COLA;COALSE;Clientes estrategicos;0;281;101016.287813041;359.488568729683;334;66;1;-2.86029698762793;-0.389712660831092
690;GYE BIMBO S.A.;COALSE;Clientes estrategicos;3;162;90790.6312803641;560.435995557803;327;35;1;-2.14223951817831;0.693697970742623
1633;GYE CASJUCA;COALSE;Clientes estrategicos;3;152;110923.647924774;729.760841610352;319;33;1;-2.19484783498214;0.868668371828782
1030;GYE EGRESOS PCP GYE;COALSE;Clientes estrategicos;0;1051;1366081.77883438;1299.79236806316;465;195;1;-4.62734323029485;-0.0343213414581194
1252;GYE HEINEKEN;COALSE;Clientes estrategicos;3;159;36380.6215729692;228.808940710498;333;34;1;-1.7353083429596;0.182328079088662
1049;GYE KUBIEC S.A. PETRILLO;COALSE;Clientes estrategicos;3;288;99157.9878726603;344.298569002293;346;66;1;-2.49082361233657;0.163574922247364
1087;GYE SANTA PRISCILA VIA DAULE;COALSE;Clientes estrategicos;3;291;214631.32073382;737.564676061236;328;67;1;-2.81966119812705;0.59716581679696
875;NATUFLOR;TECFOOD;Clientes estrategicos;3;151;51932.2738393209;343.922343306761;342;33;1;-1.88272211651264;0.437153033131964
11;ARCA SUR;TECFOOD;Clientes estrategicos;2;460;13199.7528751373;28.6951149459507;303;98;1;-1.84897492539705;-1.58011237843991
8;ARCA CALDERON;TECFOOD;Clientes estrategicos;2;402;45317.4118157874;112.729880138775;366;98;1;-2.42593107040312;-0.758888322728271
9;ARCA NORTE;TECFOOD;Clientes estrategicos;2;430;84396.288310527;196.270437931458;372;97;1;-2.70279235027176;-0.430504940851402
5;AYMESA 1;TECFOOD;Clientes estrategicos;2;268;80930.5927665382;301.97982375574;405;63;1;-2.50081346057079;0.0086371256575023
1689;COL. INTISANA COMEDOR;TECFOOD;Clientes estrategicos;4;240;95630.481141364;398.460338089017;353;58;1;-2.35544932918634;0.397741790471808
335;CONFITECA C.A.;TECFOOD;Clientes estrategicos;2;280;91185.4845378749;325.662444778125;402;66;1;-2.57257564471812;0.0332176828826942
888;GPF PROVEFARMA CD;TECFOOD;Clientes estrategicos;2;389;166812.802183158;428.824684275471;497;70;1;-2.94611780355239;0.193229079340556
49;EDESA;TECFOOD;Clientes estrategicos;2;433;86393.1112378805;199.522196854227;408;98;1;-2.74413086896956;-0.412187866353513
1778;FLOREQUISA OPERATIVO;TECFOOD;Clientes estrategicos;2;313;192607.919451048;615.360765019322;404;66;1;-2.90931318258304;0.404244570516541
1779;FLOREQUISA ADMINISTRATIVO;TECFOOD;Clientes estrategicos;2;264;41621.2122718463;157.656107090327;263;65;1;-2.09802693220065;-0.442796387339006
1783;FLOREQUISA EVENTOS;TECFOOD;Clientes estrategicos;2;82;3172.0902233696;38.6840271142634;113;26;1;-0.287660984883804;-1.00410026153411
531;FV GRIFERIA;TECFOOD;Clientes estrategicos;2;254;97796.9176360682;385.02723478767;421;36;1;-2.37030651952526;0.367266253393843
530;FV SANITARIOS;TECFOOD;Clientes estrategicos;2;328;153464.485426662;467.879528739824;421;65;1;-2.81945023559887;0.253733113610302
1342;GYE CALBAQ S.A. SUMINISTROS;COALSE;Clientes estrategicos;2;68;2601.77857799;38.2614496763235;38;33;1;0.028795760163539;-1.24254469341288
165;GYE CLÍNICA ADMINISTRACIÓN;COALSE;Clientes estrategicos;2;130;15283.1758916003;117.562891473848;230;33;1;-1.30144624188642;-0.361050502223866
166;GYE CLÍNICA DIETAS VARIAS;COALSE;Clientes estrategicos;2;133;22083.5209531268;166.041510925765;173;33;1;-1.38201778058126;-0.199202296068184
1939;GYE COL. MENOR SAM RETAIL;COALSE;Clientes estrategicos;3;118;32886.80669282;278.701751634068;87;39;1;-1.3382260484339;0.0695706802896507
1953;GYE COL. MODERNA COMEDOR;COALSE;Clientes estrategicos;3;259;18317.4427620607;70.7237172280336;244;65;1;-1.64048815622719;-0.800748645118915
1954;GYE COL. MODERNA RETAIL;COALSE;Clientes estrategicos;3;152;46066.286909443;303.067677035809;103;43;1;-1.59106434825429;0.0989965438489051
1247;GYE ENIGAS LOMAS DE SARGENTILLO;COALSE;Clientes estrategicos;2;146;25669.7518745436;175.820218318792;283;33;1;-1.59579764829414;-0.100230678880302
1463;GYE GH 111 SUMINISTROS MEGAPAN;COALSE;Clientes estrategicos;2;357;101394.927753529;284.019405472071;181;77;1;-2.47012085836429;-0.22145093707047
1431;GYE GRUPO FAMILIA;COALSE;Clientes estrategicos;2;159;44560.354209432;280.253800059321;347;33;1;-1.90148379707762;0.198688279696554
1289;GYE LA FABRIL AGENCIA;COALSE;Clientes estrategicos;2;135;26723.277945238;197.950207001763;256;33;1;-1.57856062101735;-0.0427359201839373
1294;GYE MABE;COALSE;Clientes estrategicos;9;153;92315.5247457179;603.36944278247;350;33;1;-1.89489196763158;1.14932585540475
209;GYE OMARSA PLANTA;COALSE;Clientes estrategicos;2;191;574902.559112941;3009.96104247613;372;37;1;-3.09800487782913;1.55446709919447
1637;GYE OMARSA TABASCA;COALSE;Clientes estrategicos;2;142;17913.8144373874;126.153622798503;242;33;1;-1.39202117086339;-0.315102159199127
1638;GYE OMARSA MAR BRAVO;COALSE;Clientes estrategicos;2;147;25914.8520867699;176.291510794353;267;33;1;-1.58378087149674;-0.10687043026329
1639;GYE OMARSA PUNTA CARNERO;COALSE;Clientes estrategicos;2;137;6121.2188831966;44.6804298043547;180;33;1;-0.838415120153997;-0.957982386768955
1254;GYE PLANTABAL S.A.;COALSE;Clientes estrategicos;2;181;158609.876560229;876.297660553749;383;35;1;-2.51741399114324;0.855857804839244
1991;GYE QUICORNAC;COALSE;Clientes estrategicos;2;156;33392.2096540002;214.052625987181;303;35;1;-1.75816504052447;0.000789384052549469
1373;GYE TEXMEX CONDUMIOS RETAIL;COALSE;Clientes estrategicos;2;116;13511.28586276;116.476602265172;11;33;1;-0.387898904868955;-0.773286346954778
1062;HOSP. METROPOLITANO PACIENTES;TECFOOD;Clientes estrategicos;2;289;93393.083794304;323.159459495862;284;77;1;-2.54685210500296;-0.0782248206802123
1082;HOSP. METROPOLITANO ADMINISTRACIÓN RETAIL;TECFOOD;Clientes estrategicos;2;64;9253.05356668;144.578961979375;62;38;1;-0.710102452241766;-0.455159045819066
1061;HOSP. METROPOLITANO ADMINISTRACIÓN;TECFOOD;Clientes estrategicos;2;343;210207.565685193;612.850045729424;443;67;1;-2.9870191671416;0.406556916109707
1889;HOSP. SOLCA ADMINISTRACION;TECFOOD;Clientes estrategicos;0;502;227025.444680199;452.241921673704;453;99;1;-3.50749034927876;-0.381101827561262
1891;HOSP. SOLCA DIETAS BLANDAS VARIAS;TECFOOD;Clientes estrategicos;0;83;28653.836239302;345.226942642193;104;34;1;-1.62209343200761;-0.295068276617732
1731;I.E.P.E.S.A.;TECFOOD;Clientes estrategicos;2;147;31380.965570229;213.475956260061;368;33;1;-1.75928595033927;0.0494089898021081
407;JABONERÍA WILSON;TECFOOD;Clientes estrategicos;2;284;96058.4132520213;338.233849478948;453;65;1;-2.62466005047236;0.0773085645533603
1139;JURIS PLANTA SANGOLQUÍ;TECFOOD;Clientes estrategicos;2;288;74014.6905431744;256.995453274911;383;67;1;-2.47573298647173;-0.118606423812949
125;LETERAGO;TECFOOD;Clientes estrategicos;2;597;68546.9028244047;114.818932704195;390;152;1;-2.83060804435534;-0.916072291920601
143;PANAVIAL IBARRA;TECFOOD;Clientes estrategicos;2;179;31820.1396985739;177.766143567452;361;40;1;-1.85026065133157;-0.136921995474573
131;PANAVIAL AMAGUAÑA;TECFOOD;Clientes estrategicos;2;160;10770.4836731904;67.31552295744;305;37;1;-1.29126529396354;-0.694457969936348
148;PETROBELL INDUSTRIALES;TECFOOD;Clientes estrategicos;2;151;16181.5283740168;107.162439563025;249;34;1;-1.3723560866352;-0.418996839177283
259;PETROBELL PETROLEROS;TECFOOD;Clientes estrategicos;2;180;57711.8838338678;320.621576854821;408;36;1;-2.10438589978939;0.264433490051692
288;PETROBELL RETAIL;TECFOOD;Clientes estrategicos;2;81;19856.78145488;245.145450060247;40;33;1;-0.881981520044341;-0.159074414520703
1998;TESSA PICASSO;TECFOOD;Clientes estrategicos;2;274;22672.8852613465;82.7477564282719;394;66;1;-1.95858648474736;-0.769694594189637
1848;PLASTISACKS;TECFOOD;Clientes estrategicos;2;280;99615.791029489;355.770682248175;380;65;1;-2.58899628712622;0.08302195916241
1678;COL. JULIO VERNE COMEDOR;TECFOOD;Clientes estrategicos;60;167;6328.9750194853;37.898054008894;204;43;1;-0.197071254281002;0.108845802471641
1681;COL. JULIO VERNE RETAIL;TECFOOD;Clientes estrategicos;58;93;7185.6182913968;77.2647128107183;133;25;1;0.119546322025976;0.664145553823195
1470;COL. LICEO ORTEGA COMEDOR;TECFOOD;Clientes estrategicos;2;189;7466.9374640154;39.5076056297111;183;51;1;-1.12592397671366;-1.19721713826076
803;COL. LICEO ORTEGA RETAIL;TECFOOD;Clientes estrategicos;2;145;9205.4793367164;63.4860643911476;124;46;1;-1.04310708885539;-0.931227216357463
1695;COL. LOS PINOS COMEDOR;TECFOOD;Clientes estrategicos;2;213;41371.0615937036;194.230336120674;295;49;1;-2.00003568689731;-0.193294970672246
1473;COL. SEK UIO COMEDOR;TECFOOD;Clientes estrategicos;18;220;49439.3729446292;224.724422475587;332;55;1;-1.6625204410839;0.628960905363321
1467;COL. SEK VALLES COMEDOR;TECFOOD;Clientes estrategicos;2;243;62518.2347120464;257.276686057804;318;58;1;-2.27844704980819;-0.0850147466698301
105;FUNDACION EL TRIÁNGULO;TECFOOD;Clientes estrategicos;25;123;22275.5477926174;181.102014574125;251;30;1;-0.867597054988836;0.834853239183877
1895;CLUB DEPORTIVO IDV FORMATIVA;TECFOOD;Clientes estrategicos;0;516;349193.676855123;676.731931889774;558;102;1;-3.76953304962505;-0.127818707841504
38;CPP OPERATIVOS;TECFOOD;Clientes estrategicos;0;155;57547.7361528135;371.275717114926;423;40;1;-2.43918633176133;-0.135202979556707
110;CPP RETAIL;TECFOOD;Clientes estrategicos;0;69;8207.24123049;118.945525079565;9;36;1;-0.408616470238404;-1.26093803234435
1698;DANEC;TECFOOD;Clientes estrategicos;0;463;200272.471537397;432.553934206041;539;98;1;-3.49229726938433;-0.377238905032576
1709;DANEC RETAIL MENÚ;TECFOOD;Clientes estrategicos;0;324;3773.5920087453;11.6468889158806;132;95;1;-1.33203235852497;-2.63544769612101
179;GYE ECUASAL;COALSE;Clientes estrategicos;0;125;38093.3050071637;304.74644005731;296;33;1;-2.06492737570672;-0.223256397258767
211;GYE GH 112 SUMINISTROS PCP GYE;COALSE;Clientes estrategicos;0;104;47202.83327116;453.873396838077;59;33;1;-1.68438609807547;-0.20666400506014
