producto_id;producto;clasificacion;mes;ventas;egresos;cantidad;indice_mes
2;POLLO ENTERO VACIO CONGELADO FAVORITO (1.4 - 1.6 KG);PERECIBLE;2026-01-01;109159.1954;586;29807;1
2;POLLO ENTERO VACIO CONGELADO FAVORITO (1.4 - 1.6 KG);PERECIBLE;2026-02-01;91954.1798;560;25109;2
2;POLLO ENTERO VACIO CONGELADO FAVORITO (1.4 - 1.6 KG);PERECIBLE;2026-03-01;113953.0152;610;31116;3
2;POLLO ENTERO VACIO CONGELADO FAVORITO (1.4 - 1.6 KG);PERECIBLE;2026-04-01;93067.4886;554;25413;4
2;POLLO ENTERO VACIO CONGELADO FAVORITO (1.4 - 1.6 KG);PERECIBLE;2026-05-01;117351.5368;576;32044;5
2;POLLO ENTERO VACIO CONGELADO FAVORITO (1.4 - 1.6 KG);PERECIBLE;2026-06-01;93741.3334;509;25597;6
2;POLLO ENTERO VACIO CONGELADO FAVORITO (1.4 - 1.6 KG);PERECIBLE;2026-07-01;95660.3262;477;26121;7
3;POLLO ENTERO VACIO CONGELADO FAVORITO (1.6 - 1.8 KG);PERECIBLE;2026-01-01;69323.12;401;16826;1
3;POLLO ENTERO VACIO CONGELADO FAVORITO (1.6 - 1.8 KG);PERECIBLE;2026-02-01;72194.76;380;17523;2
3;POLLO ENTERO VACIO CONGELADO FAVORITO (1.6 - 1.8 KG);PERECIBLE;2026-03-01;85510.6;442;20755;3
3;POLLO ENTERO VACIO CONGELADO FAVORITO (1.6 - 1.8 KG);PERECIBLE;2026-04-01;91546.4;503;22220;4
3;POLLO ENTERO VACIO CONGELADO FAVORITO (1.6 - 1.8 KG);PERECIBLE;2026-05-01;94261.48;443;22879;5
3;POLLO ENTERO VACIO CONGELADO FAVORITO (1.6 - 1.8 KG);PERECIBLE;2026-06-01;93622.88;430;22724;6
3;POLLO ENTERO VACIO CONGELADO FAVORITO (1.6 - 1.8 KG);PERECIBLE;2026-07-01;105904.6;464;25705;7
4;POLLO ENTERO VACIO CONGELADO FAVORITO (1.8 - 2.0 KG);PERECIBLE;2026-01-01;19679.9622;106;4299;1
4;POLLO ENTERO VACIO CONGELADO FAVORITO (1.8 - 2.0 KG);PERECIBLE;2026-02-01;24788.787;121;5415;2
4;POLLO ENTERO VACIO CONGELADO FAVORITO (1.8 - 2.0 KG);PERECIBLE;2026-03-01;24138.7394;130;5273;3
4;POLLO ENTERO VACIO CONGELADO FAVORITO (1.8 - 2.0 KG);PERECIBLE;2026-04-01;24408.8296;129;5332;4
4;POLLO ENTERO VACIO CONGELADO FAVORITO (1.8 - 2.0 KG);PERECIBLE;2026-05-01;22115.3518;134;4831;5
4;POLLO ENTERO VACIO CONGELADO FAVORITO (1.8 - 2.0 KG);PERECIBLE;2026-06-01;26088.8822;137;5699;6
4;POLLO ENTERO VACIO CONGELADO FAVORITO (1.8 - 2.0 KG);PERECIBLE;2026-07-01;29838.1004;151;6518;7
7;POLLO PECHUGA ENTERA CONGELADO PROCESADO 2 KG X4;PERECIBLE;2026-01-01;7014.5951576616;490;1959.83;1
7;POLLO PECHUGA ENTERA CONGELADO PROCESADO 2 KG X4;PERECIBLE;2026-02-01;6944.4431214696;475;1940.23;2
7;POLLO PECHUGA ENTERA CONGELADO PROCESADO 2 KG X4;PERECIBLE;2026-03-01;7887.1647955824;566;2203.62;3
7;POLLO PECHUGA ENTERA CONGELADO PROCESADO 2 KG X4;PERECIBLE;2026-04-01;6822.2139359616;492;1906.08;4
7;POLLO PECHUGA ENTERA CONGELADO PROCESADO 2 KG X4;PERECIBLE;2026-05-01;7757.2761530616;487;2167.33;5
7;POLLO PECHUGA ENTERA CONGELADO PROCESADO 2 KG X4;PERECIBLE;2026-06-01;7295.1317187192;549;2038.21;6
7;POLLO PECHUGA ENTERA CONGELADO PROCESADO 2 KG X4;PERECIBLE;2026-07-01;5768.4659270184;429;1611.67;7
8;POLLO PECHUGA CONGELADO PROCESADO 5.6 KG X10;PERECIBLE;2026-01-01;43171.060359474;511;12193.8;1
8;POLLO PECHUGA CONGELADO PROCESADO 5.6 KG X10;PERECIBLE;2026-02-01;50907.0348250605;514;14378.85;2
8;POLLO PECHUGA CONGELADO PROCESADO 5.6 KG X10;PERECIBLE;2026-03-01;50599.8687901257;547;14292.09;3
8;POLLO PECHUGA CONGELADO PROCESADO 5.6 KG X10;PERECIBLE;2026-04-01;58835.6430384663;596;16618.31;4
8;POLLO PECHUGA CONGELADO PROCESADO 5.6 KG X10;PERECIBLE;2026-05-01;54495.2765040228;545;15392.36;5
8;POLLO PECHUGA CONGELADO PROCESADO 5.6 KG X10;PERECIBLE;2026-06-01;58462.4837475243;607;16512.91;6
