ventana;fecha_despacho;modelo;ventas;ventas_proyectadas;error;error_absoluto;limite_inferior;limite_superior
4;2026-07-20;Promedio reciente por dia;124855.860315178;122274.483607898;2581.37670727963;2581.37670727963;111938.022631445;133136.654034467
4;2026-07-21;Promedio reciente por dia;127667.640750264;133299.037239964;-5631.39648970001;5631.39648970001;122962.576263511;144161.207666534
4;2026-07-22;Promedio reciente por dia;157541.335479808;147662.874286492;9878.46119331609;9878.46119331609;137326.413310039;158525.044713061
4;2026-07-23;Promedio reciente por dia;74980.0701623189;84858.9049940356;-9878.83483171668;9878.83483171668;74522.4440175824;95721.075420605
4;2026-07-24;Promedio reciente por dia;110567.789135269;106765.546621682;3802.24251358687;3802.24251358687;96429.0856452284;117627.717048251
4;2026-07-25;Promedio reciente por dia;0;31.4167845375;-31.4167845375;31.4167845375;0;10893.5872111069
4;2026-07-26;Promedio reciente por dia;53569.0722646413;56352.7805487687;-2783.70828412744;2783.70828412744;46016.3195723155;67214.9509753382
4;2026-07-27;Promedio reciente por dia;120677.064352002;122274.483607898;-1597.41925589608;1597.41925589608;111938.022631445;133136.654034467
4;2026-07-28;Promedio reciente por dia;135225.151418821;133299.037239964;1926.11417885718;1926.11417885718;122962.576263511;144161.207666534
4;2026-07-29;Promedio reciente por dia;154409.606716647;147662.874286492;6746.7324301549;6746.7324301549;137326.413310039;158525.044713061
4;2026-07-30;Promedio reciente por dia;73353.5531149416;84858.9049940356;-11505.351879094;11505.351879094;74522.4440175824;95721.075420605
4;2026-07-31;Promedio reciente por dia;96649.2831829651;106765.546621682;-10116.2634387165;10116.2634387165;96429.0856452284;117627.717048251
4;2026-08-01;Promedio reciente por dia;0;31.4167845375;-31.4167845375;31.4167845375;0;10893.5872111069
4;2026-08-02;Promedio reciente por dia;61660.2508183243;56352.7805487687;5307.47026955556;5307.47026955556;46016.3195723155;67214.9509753382
4;2026-08-03;Promedio reciente por dia;114371.382383936;122274.483607898;-7903.10122396197;7903.10122396197;111938.022631445;133136.654034467
4;2026-08-04;Promedio reciente por dia;132088.046359858;133299.037239964;-1210.9908801062;1210.9908801062;122962.576263511;144161.207666534
4;2026-08-05;Promedio reciente por dia;146843.090880494;147662.874286492;-819.783405997325;819.783405997325;137326.413310039;158525.044713061
4;2026-08-06;Promedio reciente por dia;66125.5005846907;84858.9049940356;-18733.4044093449;18733.4044093449;74522.4440175824;95721.075420605
4;2026-08-07;Promedio reciente por dia;96141.1350189574;106765.546621682;-10624.4116027242;10624.4116027242;96429.0856452284;117627.717048251
4;2026-08-08;Promedio reciente por dia;0;31.4167845375;-31.4167845375;31.4167845375;0;10893.5872111069
4;2026-08-09;Promedio reciente por dia;67534.8275989151;56352.7805487687;11182.0470501464;11182.0470501464;46016.3195723155;67214.9509753382
4;2026-08-10;Promedio reciente por dia;122017.967416239;122274.483607898;-256.516191658666;256.516191658666;111938.022631445;133136.654034467
4;2026-08-11;Promedio reciente por dia;127982.161806418;133299.037239964;-5316.8754335464;5316.8754335464;122962.576263511;144161.207666534
4;2026-08-12;Promedio reciente por dia;152469.00040263;147662.874286492;4806.12611613839;4806.12611613839;137326.413310039;158525.044713061
4;2026-08-13;Promedio reciente por dia;72551.1354550649;84858.9049940356;-12307.7695389707;12307.7695389707;74522.4440175824;95721.075420605
4;2026-08-14;Promedio reciente por dia;92214.0386356243;106765.546621682;-14551.5079860573;14551.5079860573;96429.0856452284;117627.717048251
4;2026-08-15;Promedio reciente por dia;0;31.4167845375;-31.4167845375;31.4167845375;0;10893.5872111069
4;2026-08-16;Promedio reciente por dia;20022.5532825048;56352.7805487687;-36330.2272662639;36330.2272662639;46016.3195723155;67214.9509753382
