ventana;fecha_despacho;modelo;ventas;ventas_proyectadas;error;error_absoluto
1;2026-04-27;Regresion logaritmica;111464.94485462;119722.15197913;-8257.20712451004;8257.20712451004
1;2026-04-28;Regresion logaritmica;114982.770982452;133142.751526632;-18159.9805441799;18159.9805441799
1;2026-04-29;Regresion logaritmica;160133.171591363;141643.398822703;18489.7727686599;18489.7727686599
1;2026-04-30;Regresion logaritmica;96550.4387337253;64282.4664495774;32267.9722841479;32267.9722841479
1;2026-05-01;Regresion logaritmica;101428.951997921;96227.1023555119;5201.84964240935;5201.84964240935
1;2026-05-02;Regresion logaritmica;0;8.24280139615944;-8.24280139615944;8.24280139615944
1;2026-05-03;Regresion logaritmica;48966.6570015203;45366.4983227821;3600.15867873825;3600.15867873825
1;2026-05-04;Regresion logaritmica;129434.273958854;119953.477092645;9480.79686620951;9480.79686620951
1;2026-05-05;Regresion logaritmica;128998.46636948;133400.007478606;-4401.54110912586;4401.54110912586
1;2026-05-06;Regresion logaritmica;134738.949468267;141917.07944416;-7178.12997589313;7178.12997589313
1;2026-05-07;Regresion logaritmica;106992.658572903;64406.6728367946;42585.985736108;42585.985736108
1;2026-05-08;Regresion logaritmica;110233.600518474;96413.0311114186;13820.5694070553;13820.5694070553
1;2026-05-09;Regresion logaritmica;0;8.26066003124227;-8.26066003124227;8.26066003124227
1;2026-05-10;Regresion logaritmica;52773.9084604656;45454.1559021718;7319.75255829378;7319.75255829378
1;2026-05-11;Regresion logaritmica;121452.614113998;120185.249164891;1267.3649491067;1267.3649491067
1;2026-05-12;Regresion logaritmica;132755.493908587;133657.76049202;-902.266583432123;902.266583432123
1;2026-05-13;Regresion logaritmica;155981.194574634;142191.288862259;13789.9057123741;13789.9057123741
1;2026-05-14;Regresion logaritmica;98407.603899828;64531.1192114842;33876.4846883438;33876.4846883438
1;2026-05-15;Regresion logaritmica;112143.168344981;96599.3191127166;15543.8492322642;15543.8492322642
1;2026-05-16;Regresion logaritmica;1856.5338460623;8.27855317218902;1848.25529289011;1848.25529289011
1;2026-05-17;Regresion logaritmica;60812.5416014469;45541.9828506366;15270.5587508103;15270.5587508103
1;2026-05-18;Regresion logaritmica;116382.731620666;120417.469059468;-4034.73743880261;4034.73743880261
