mes;clasificacion;ventas
2026-01-01;FRUVER;419650.81633454
2026-01-01;NO PERECIBLE;700663.882918483
2026-01-01;PERECIBLE;1373016.96834552
2026-02-01;FRUVER;418093.003036075
2026-02-01;NO PERECIBLE;680086.80320179
2026-02-01;PERECIBLE;1345462.03379975
2026-03-01;FRUVER;485904.706587431
2026-03-01;NO PERECIBLE;790338.261246646
2026-03-01;PERECIBLE;1539653.56668327
2026-04-01;FRUVER;457161.764220263
2026-04-01;NO PERECIBLE;762867.150541198
2026-04-01;PERECIBLE;1521961.81348385
2026-05-01;FRUVER;465933.283426072
2026-05-01;NO PERECIBLE;755586.340139908
2026-05-01;PERECIBLE;1562407.42236972
2026-06-01;FRUVER;486860.770701295
2026-06-01;NO PERECIBLE;784363.443842177
2026-06-01;PERECIBLE;1630334.2374431
2026-07-01;FRUVER;494752.555614354
2026-07-01;NO PERECIBLE;771780.437740681
2026-07-01;PERECIBLE;1613996.99981897
